country_iso3,country_name,year,gdp_growth,inflation,unemployment,lending_rate,trade_opennes,govt_debt,gdp_per_capita_growth
PER,Peru,1998,-0.391537555833821,7.24782175213469,5.099,32.6266666666667,32.9530217853936,-6.01059688640088,-2.18705299448793
PER,Peru,1999,1.49491064308833,3.46965996293019,5.011,35.0566666666667,33.2057765558493,-2.74952502384786,-0.243054508218478
PER,Peru,2000,2.69437139806912,3.75733833344474,4.959,29.9958333333333,35.5380321623178,-2.98741137277728,1.10433498225969
PER,Peru,2001,0.617892325624297,1.97709878502053,5.068,24.9783333333333,35.0644014310212,-2.31175794610238,-0.748837166204879
PER,Peru,2002,5.45352893818767,0.193135003853722,4.84,20.7653572885806,35.2491813317695,-2.02693936398419,4.20293608263907
PER,Peru,2003,4.16502313666112,2.25937753363072,4.15,21.0156649712755,37.6246103251002,-1.61504289543387,3.06117676528694
PER,Peru,2004,4.95820320611745,3.66247320092233,4.71,24.6745640588226,41.9360782679273,0.0288861085400799,3.93432882456604
PER,Peru,2005,6.28506032509601,1.61630193862544,4.87,25.5338357716344,47.3573174768394,1.5088102611942,5.34332345958555
PER,Peru,2006,7.5288990440594,2.00225801248819,4.17,23.9333333333333,51.7850560338442,3.24050716695869,6.68113849738523
PER,Peru,2007,8.5183877690955,1.77998644680372,4.08,22.8556480555556,55.6881132836815,1.42931463476859,7.73406209571857
PER,Peru,2008,9.1265683014642,5.78587598206755,4.03,23.6734449024808,58.4337673899053,-4.41112077807089,8.4109066563893
PER,Peru,2009,1.0958236592427,2.936231535967,3.96,21.0419233333333,48.1119296153519,-0.598288729210878,0.473893281807491
PER,Peru,2010,8.33245910749577,1.52832059732901,3.6,18.9768683333333,51.6728089370033,-2.41611244249563,7.6277436246787
PER,Peru,2011,6.32719240161117,3.36931095333853,3.477,18.677925,55.9882802838607,-1.96422212136988,5.53595626254707
PER,Peru,2012,6.13972470560435,3.61121294940163,3.238,19.2369083333333,52.6198952632294,-2.87262299972341,5.25513020005759
PER,Peru,2013,5.85251821084928,2.76789666082002,3.575,18.13925,49.7871424471444,-4.85170158694027,4.90271487934022
PER,Peru,2014,2.38215737180541,3.41194579807465,3.208,15.7433166666667,46.8531210912899,-4.36595061444558,1.36938882425959
PER,Peru,2015,3.25224477218451,3.39809194746308,3.272,16.1058277777778,45.1627686891148,-4.70878071644278,2.09361990664132
PER,Peru,2016,3.95331871520767,3.55717663556279,3.741,16.4662,45.3888411964154,-2.29429403266562,2.57623039728159
PER,Peru,2017,2.51883544233135,2.99490045809443,3.691,16.7874916666667,47.5135503619971,-0.953080061958555,1.01943141648242
PER,Peru,2018,3.969351341365,1.50915423024742,3.492,14.539125,48.631470171736,-1.27850714659718,2.1018453903506
PER,Peru,2019,2.24063176875049,2.25212191358027,3.379,14.38545,46.9435053754409,-0.726098966731838,0.502286291227506
PER,Peru,2020,-10.9333065010382,2.00241205759292,7.179,12.9383333333333,44.245967197744,0.781293621318144,-11.989123385761
PER,Peru,2021,13.3626240903125,4.27166381536798,5.097,10.9795083333333,55.427249365522,-2.24912985995392,12.2777396432111
PER,Peru,2022,2.8090335533015,8.33370630096231,4.291,12.5972583333333,57.2969759649721,-4.05265015695666,1.82762015025182
PER,Peru,2023,-0.403242151494268,6.45561348369586,4.899,,50.7851842068664,0.329785902609557,-1.49255980889144
